,score,i,j
0,0.0,0.0,0.0
1,-0.6659906411272809,1.0,11.0
2,-0.6828338956256153,1.0,12.0
3,-0.672616589107647,1.0,13.0
4,-0.6922173022901281,1.0,14.0
5,-0.689979042742761,1.0,15.0
6,-0.6810499874843767,1.0,16.0
7,-0.6967958684732414,1.0,17.0
8,-0.6822356445798037,1.0,18.0
9,-0.6964580272016916,1.0,19.0
10,-0.6975421766602994,1.0,20.0
11,-0.6989760157686011,1.0,21.0
12,-0.615641664009495,2.0,11.0
13,-0.6186627884162617,2.0,12.0
14,-0.6348698371670314,2.0,13.0
15,-0.6329051727682893,2.0,14.0
16,-0.6401745777193542,2.0,15.0
17,-0.653832173835206,2.0,16.0
18,-0.6521512530293037,2.0,17.0
19,-0.6488226870872174,2.0,18.0
20,-0.6638116152342202,2.0,19.0
21,-0.652982157986618,2.0,20.0
22,-0.6524327208838034,2.0,21.0
23,-0.6729019767547686,3.0,11.0
24,-0.6940763406509425,3.0,12.0
25,-0.6883062878793875,3.0,13.0
26,-0.6835829329180572,3.0,14.0
27,-0.6921051366083508,3.0,15.0
28,-0.7098401296695838,3.0,16.0
29,-0.6985943831883419,3.0,17.0
30,-0.6967498945694679,3.0,18.0
31,-0.7138846946088973,3.0,19.0
32,-0.7217753914402154,3.0,20.0
33,-0.7199550261432102,3.0,21.0
34,-0.6970046093895679,4.0,11.0
35,-0.6954654009815291,4.0,12.0
36,-0.6830426909558378,4.0,13.0
37,-0.6777180737825244,4.0,14.0
38,-0.6965302976258632,4.0,15.0
39,-0.6837277747973729,4.0,16.0
40,-0.7016849866849555,4.0,17.0
41,-0.6884453228794627,4.0,18.0
42,-0.6791446862947035,4.0,19.0
43,-0.6973012616545398,4.0,20.0
44,-0.6983948548871528,4.0,21.0
45,-0.6774133293005051,5.0,11.0
46,-0.6944148280360305,5.0,12.0
47,-0.7033802708433381,5.0,13.0
48,-0.7250343247619635,5.0,14.0
49,-0.7239165552112581,5.0,15.0
50,-0.7141968660766156,5.0,16.0
51,-0.7305283427053748,5.0,17.0
52,-0.731307263903946,5.0,18.0
53,-0.7504459831207262,5.0,19.0
54,-0.7663769736126138,5.0,20.0
55,-0.7688404383155529,5.0,21.0
56,-0.6263634756869112,6.0,11.0
57,-0.6179710317559626,6.0,12.0
58,-0.6115306722879341,6.0,13.0
59,-0.629169778455815,6.0,14.0
60,-0.6175140117657358,6.0,15.0
61,-0.6300691410792714,6.0,16.0
62,-0.6292468094978609,6.0,17.0
63,-0.6185578595269661,6.0,18.0
64,-0.6311033190622564,6.0,19.0
65,-0.6310345968444993,6.0,20.0
66,-0.645986996223133,6.0,21.0
67,-0.6329364829798643,7.0,11.0
68,-0.6324940740715517,7.0,12.0
69,-0.62131794024777,7.0,13.0
70,-0.6356846986375142,7.0,14.0
71,-0.6258441242334538,7.0,15.0
72,-0.6159003995974526,7.0,16.0
73,-0.6323427183486634,7.0,17.0
74,-0.6229553249661943,7.0,18.0
75,-0.62615601862744,7.0,19.0
76,-0.6345782757606246,7.0,20.0
77,-0.6501165920925971,7.0,21.0
78,-0.6735693719067375,8.0,11.0
79,-0.6708286952253724,8.0,12.0
80,-0.6857024422006754,8.0,13.0
81,-0.6722323339503804,8.0,14.0
82,-0.6626479906463254,8.0,15.0
83,-0.684560854761096,8.0,16.0
84,-0.6756482386871101,8.0,17.0
85,-0.690461766744749,8.0,18.0
86,-0.6795106877945218,8.0,19.0
87,-0.6965897986323313,8.0,20.0
88,-0.703033122513625,8.0,21.0
89,-0.6676045379896802,9.0,11.0
90,-0.6670080347713594,9.0,12.0
91,-0.6842611943281751,9.0,13.0
92,-0.6718227588905925,9.0,14.0
93,-0.6722558005696486,9.0,15.0
94,-0.6617160037056706,9.0,16.0
95,-0.6790476457093078,9.0,17.0
96,-0.6697799966969327,9.0,18.0
97,-0.6594791794163337,9.0,19.0
98,-0.6756667252540403,9.0,20.0
99,-0.685039836539195,9.0,21.0
